date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-04-26-14:07:30,112844,1232,2114645,128,0.9892,0.9989,0.994,2228849,22.948
2025-04-26-14:07:53,80458,931,1718717,170,0.9886,0.9979,0.9932,1800276,22.808
2025-04-26-14:08:17,118116,1053,1970933,54,0.9912,0.9995,0.9953,2090156,22.602
2025-04-26-14:08:41,105653,1664,1610005,134,0.9845,0.9987,0.9916,1717456,23.191
2025-04-26-14:09:05,92334,1091,1724112,455,0.9883,0.9951,0.9917,1817992,23.207
2025-04-26-14:09:29,99543,1111,1823550,136,0.989,0.9986,0.9938,1924340,22.844
2025-04-26-14:09:53,99199,1336,2017391,150,0.9867,0.9985,0.9926,2118076,22.863
2025-04-26-14:10:17,86907,834,1850157,109,0.9905,0.9987,0.9946,1938007,23.197
2025-04-26-14:10:42,111320,655,1667258,56,0.9942,0.9995,0.9968,1779289,22.913
2025-04-26-14:11:06,101074,461,1699683,110,0.9955,0.9989,0.9972,1801328,22.876
2025-04-26-14:11:30,75717,678,1865178,89,0.9911,0.9988,0.995,1941662,22.98
2025-04-26-14:11:54,93574,258,1763385,120,0.9973,0.9987,0.998,1857337,23.014
2025-04-26-14:12:18,95841,1194,1926364,142,0.9877,0.9985,0.9931,2023541,22.818
2025-04-26-14:12:42,85956,557,1592384,100,0.9936,0.9988,0.9962,1678997,23.005
2025-04-26-14:13:07,74619,572,1917619,66,0.9924,0.9991,0.9957,1992876,23.051
2025-04-26-14:13:31,85113,439,1760520,169,0.9949,0.998,0.9964,1846241,22.757
2025-04-26-14:13:54,103930,780,1726553,217,0.9926,0.9979,0.9952,1831480,22.733
2025-04-26-14:14:19,63361,1130,1772873,76,0.9825,0.9988,0.9906,1837440,23.087
2025-04-26-14:14:43,81559,325,1673852,29,0.996,0.9996,0.9978,1755765,23.328
2025-04-26-14:15:08,109385,1322,1599850,107,0.9881,0.999,0.9935,1710664,22.986
2025-04-26-14:15:32,87812,995,1548071,63,0.9888,0.9993,0.994,1636941,22.759
