file_name,accuracy,tn,fp,fn,tp,precision,recall,f1,annot_fg,annot_bg,area_true,area_pred,area_error,seg_time,model_name,annot_duration_s,clicks
1920280_M-26A_Density Log Scan_Color_000.jpg,1.0,493365,0,0,7863,1.0,1.0,1.0,0,0,7863,7863,0,1747649175.0,000065_1747476517.pkl,19.78449034690857,0
CD3-130PB1 VISION Resistivity 2TVD Recorded Mode Log_003.jpg,0.9918778759033154,765433,1101,5347,22000,0.9523397255530064,0.8044758108750503,0.8721852204249921,5766,1818,27347,23101,-4246,1747649195.0,000065_1747476517.pkl,2834.338988304138,556
2002170_PBU 02-03B_Gamma Ray Log Scan (TVD)_004.jpg,0.9963594000291248,423880,0,1550,324,1.0,0.1728922091782284,0.2948134667879891,1607,0,1874,324,-1550,1747652113.0,000066_1747650154.pkl,173.1206591129303,24
|1930650 Dual Prop, Resistivity, Gamma Ray Log B&W_000.jpg|,0.989780387040661,401559,2031,2340,21777,0.9146925403225806,0.9029730065928598,0.9087949921752739,2749,2644,24117,23808,-309,1747652315.0,000066_1747650154.pkl,0,0
1890990 Resistivity-Gamma-Directional Survey Log Scan_004.jpg,0.9970048295666443,426575,0,1285,1164,1.0,0.47529603919967334,0.6443398837531137,1434,0,2449,1164,-1285,1747654040.0,000066_1747650154.pkl,192.25377655029297,22
$R14BIPP_000.jpg,0.9975941473952963,412904,363,666,13774,0.9743226992997099,0.9538781163434903,0.9639920215557966,779,605,14440,14137,-303,1747654635.0,000066_1747650154.pkl,253.55786275863647,38
|1920380 Dual Prop, Resistivity, Gamma Ray Log Scan_000.jpg|,1.0,427067,0,0,640,1.0,1.0,1.0,0,0,640,640,0,1747654909.0,000066_1747650154.pkl,0,0
|1921440 Dual Prop, Resistivity, Gamma Ray Log Scan_001.jpg|,0.9835896267067429,397667,3494,3418,16618,0.8262728719172633,0.829407067278898,0.8278370030885721,3969,21137,20036,20112,76,1747654934.0,000066_1747650154.pkl,0,0
SCU 31-04 PB1 TC TVD_002.jpg,0.994671065247615,635434,0,3557,28497,1.0,0.8890310101703376,0.9412561311951908,4234,0,32054,28497,-3557,1747655740.0,000066_1747650154.pkl,325.1759030818939,46
ODSN-24 PB1 2in TVD_002.jpg,1.0,672399,0,0,0,nan,nan,nan,0,0,0,0,0,1747656098.0,000066_1747650154.pkl,0,0
|1930340 Dual Prop, Resistivity, Density, Gamma Ray Log Scan_003.jpg|,1.0,417886,0,0,9821,1.0,1.0,1.0,0,0,9821,9821,0,1747656128.0,000066_1747650154.pkl,0,0
T19978 PPROF_23JUL10_003.jpg,1.0,404554,0,0,1215,1.0,1.0,1.0,0,0,1215,1215,0,1747656138.0,000066_1747650154.pkl,10.077253818511963,0
|1921440 Dual Prop, Resistivity, Gamma Ray Log Scan_004.jpg|,0.9949975902012598,382218,990,1117,36872,0.9738524113887275,0.970596751691279,0.9722218560071719,1467,1485,37989,37862,-127,1747656148.0,000066_1747650154.pkl,0,0
1640150 ITKILLIK UNIT 1 TEMP LOG_002.jpg,1.0,428974,0,0,13916,1.0,1.0,1.0,0,0,13916,13916,0,1747656538.0,000066_1747650154.pkl,11.443182945251465,0
1860310 Gamma Ray Log Scan_003.jpg,0.996676453877603,488026,759,914,13679,0.9474303920210555,0.9373672308641129,0.9423719472288243,990,10032,14593,14438,-155,1747656549.0,000066_1747650154.pkl,254.24522590637207,41
CD3-130PB1 VISION Resistivity 2TVD Recorded Mode Log_000.jpg,0.9895047242596813,748528,5139,3193,37021,0.8781072106261859,0.9205997911175212,0.8988515793818437,3427,9256,40214,42160,1946,1747656803.0,000066_1747650154.pkl,1370.1247310638428,235
1900770 Resistivity-Gamma-Dual Prop Survey Scan_004.jpg,1.0,673757,0,0,9163,1.0,1.0,1.0,0,0,9163,9163,0,1747658251.0,000066_1747650154.pkl,11.598695516586304,0
|1901260 R, Gamma, Directional Log Scan_002.jpg|,1.0,409458,0,0,17598,1.0,1.0,1.0,0,0,17598,17598,0,1747658263.0,000067_1747658258.pkl,0,0
2002170_PBU 02-03B_Gamma Ray Log Scan (TVD)_001.jpg,1.0,417225,0,0,8529,1.0,1.0,1.0,0,0,8529,8529,0,1747658279.0,000067_1747658258.pkl,0,0
CD3-130 PB2  EcoScope 2TVD Recorded Mode Log_001.jpg,1.0,755407,0,0,38474,1.0,1.0,1.0,0,0,38474,38474,0,1747658321.0,000068_1747658283.pkl,6.426642656326294,0
CD3-130PB1 VISION Resistivity 2TVD Recorded Mode Log_002.jpg,1.0,759645,0,0,34236,1.0,1.0,1.0,0,0,34236,34236,0,1747658329.0,000068_1747658283.pkl,7.825279235839844,0
|1910880 Resistivity, Gamma, Directional Survey Log Scan_002.jpg|,1.0,416273,0,0,10132,1.0,1.0,1.0,0,0,10132,10132,0,1747658337.0,000068_1747658283.pkl,0,0
1920280_M-26A_Density-Neutron Log Scan_Color_002.jpg,1.0,399964,0,0,3884,1.0,1.0,1.0,0,0,3884,3884,0,1747658349.0,000068_1747658283.pkl,9.389073133468628,0
|1920370 Dual Prop, Resistivity, Gamma Ray Log Scan_002.jpg|,0.999617306122449,763923,293,0,1409,0.8278495887191539,1.0,0.9058180649308903,0,4838,1409,1702,293,1747658357.0,000068_1747658283.pkl,0,0
|1901260 R, Gamma, Directional Log Scan_003.jpg|,1.0,426954,0,0,102,1.0,1.0,1.0,0,0,102,102,0,1747658409.0,000068_1747658283.pkl,0,0
|1930430 Dual Prop, Resistivity, Gamma Ray Log Scan_003.jpg|,0.9942133282831471,404353,346,2129,20879,0.983698468786808,0.9074669680111266,0.9440463002735513,2316,856,23008,21225,-1783,1747658421.0,000068_1747658283.pkl,0,0
|1930270 Dual Prop, Resistivity, Gamma Ray Log Scan_001.jpg|,0.9995821310847783,419039,7,172,9146,0.9992352234240139,0.9815411032410388,0.9903091332358832,201,19,9318,9153,-165,1747658796.0,000069_1747658457.pkl,0,0
CD3-130 PB2  EcoScope 2MD Recorded Mode Log_000.jpg,0.9894543388744661,763020,8372,0,22489,0.728719095298273,1.0,0.8430740393626992,0,72918,22489,30861,8372,1747658886.0,000069_1747658457.pkl,607.0035810470581,134
|1920370 Dual Prop, Resistivity, Gamma Ray Log Scan_000.jpg|,1.0,765323,0,0,302,1.0,1.0,1.0,0,0,302,302,0,1747659493.0,000069_1747658457.pkl,0,0
1801120 Gamma Ray Plot Scan_003.jpg,1.0,557720,0,0,0,nan,nan,nan,0,0,0,0,0,1747659506.0,000069_1747658457.pkl,13.658915758132935,0
|1920380 Dual Prop, Resistivity, Gamma Ray Log Scan_001.jpg|,1.0,418466,0,0,9241,1.0,1.0,1.0,0,0,9241,9241,0,1747659519.0,000069_1747658457.pkl,0,0
CD3-130PB1 VISION Resistivity 2TVD Recorded Mode Log_004.jpg,1.0,780051,0,0,13830,1.0,1.0,1.0,0,0,13830,13830,0,1747659527.0,000069_1747658457.pkl,8.92109751701355,0
